Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,3,Palladio Balewadi Central Phase 1,1150 sqft,Unfurnished,3,₹1.60 Cr ,₹9938 per sqft 
,4,The Ornate,1480 sqft,Semi-Furnished,3,₹1.99 Cr ,₹10934 per sqft 
,3,VTP Euphoria,1470 sqft,Unfurnished,3,₹1.54 Cr ,₹7778 per sqft 
,3,The Address,1350 sqft,Unfurnished,3,₹1.81 Cr ,₹9956 per sqft 
,2,Krishna Amarillo,702 sqft,Semi-Furnished,2,₹76 Lac ,₹8261 per sqft 
,3,Nirman Cosmopolis,1064 sqft,Unfurnished,3,₹1.14 Cr ,₹8261 per sqft 
,3,,,Unfurnished,3,₹1 Cr ,₹7407 per sqft 
,3,Godrej Hillside,980 sqft,Unfurnished,3,₹1 Cr ,₹7692 per sqft 
,4,Kumar Parth Tower,1680 sqft,Unfurnished,4,₹1.90 Cr ,₹8085 per sqft 
,2,Avon Vista,774 sqft,Unfurnished,2,₹94.5 Lac ,₹8008 per sqft 
,3,Pebbles Greenfield,1050 sqft,Unfurnished,3,₹1.20 Cr ,₹8236 per sqft 
,3,The Ornate,1260 sqft,Unfurnished,3,₹1.82 Cr ,₹10610 per sqft 
,3,Hues Of Sky,1243 sqft,Semi-Furnished,3,₹2.35 Cr ,
,1,Rohan Harita,445 sqft,Unfurnished,1,₹46.8 Lac ,₹6245 per sqft 
,2,Avon Vista,757 sqft,Unfurnished,2,₹85 Lac ,₹8252 per sqft 
,2,Lush Residences,800 sqft,Unfurnished,2,₹79 Lac ,₹7722 per sqft 
,3,,1131 sqft,Unfurnished,3,₹1.26 Cr ,₹8257 per sqft 
,2,Codename Fireworks,840 sqft,Unfurnished,2,₹99 Lac ,₹8730 per sqft 
,3,Nyati Evara 1,1236 sqft,Unfurnished,3,₹1.03 Cr ,₹6645 per sqft 
,2,Sunflower Apartments,750 sqft,Unfurnished,2,₹57 Lac ,₹5429 per sqft 
,2,Nyati Emerald,838 sqft,Unfurnished,2,₹95 Lac ,₹8400 per sqft 
,5,Panchshil Towers,4500 sqft,Unfurnished,5,₹9 Cr ,₹16364 per sqft 
,2,Ganga Liviano,1150 sqft,Semi-Furnished,2,₹1.35 Cr ,₹9310 per sqft 
,2,VTP Urban Rise,775 sqft,Unfurnished,2,₹39 Lac ,₹3728 per sqft 
,2,Menlo Hinjewadi Phase 2,700 sqft,Unfurnished,2,₹55 Lac ,₹5820 per sqft 
,3,ANP Universe,1279 sqft,Unfurnished,3,₹1.61 Cr ,₹9331 per sqft 
,3,Godrej 24,1188 sqft,Unfurnished,3,₹1.30 Cr ,₹8497 per sqft 
,2,Royal KP Stellar,750 sqft,Unfurnished,2,₹75 Lac ,₹7411 per sqft 
,2,Kundan Espacio,,Unfurnished,2,₹1.05 Cr ,₹9633 per sqft 
,2,Kolte-Patil Clover Heights,1050 sqft,Unfurnished,2,₹1.17 Cr ,₹8667 per sqft 
,2,Gera World of Joy,1000 sqft,Unfurnished,2,₹95 Lac ,₹8582 per sqft 
,4,Bramha Sun City Phase II,1900 sqft,Furnished,4,₹1.85 Cr ,₹7708 per sqft 
,2,YashONE Infinitee,730 sqft,Unfurnished,2,₹68 Lac ,₹7098 per sqft 
,3,Merlin Elementa 2.0,955 sqft,Unfurnished,3,₹98.7 Lac ,₹7308 per sqft 
,3,Omega Paradise,1270 sqft,Unfurnished,3,₹98 Lac ,₹6262 per sqft 
,3,,894 sqft,Unfurnished,2,₹81.6 Lac ,₹6763 per sqft 
,2,Rama Metro Life Maxima Residences,782 sqft,Unfurnished,2,₹71 Lac ,₹6893 per sqft 
,2,Majestique Memories,804 sqft,Unfurnished,2,₹58.9 Lac ,₹5153 per sqft 
,3,Nyati Ethos,1250 sqft,Unfurnished,3,₹96 Lac ,₹5900 per sqft 
,3,Kolte Patil Life Republic,1287 sqft,Semi-Furnished,3,₹94.8 Lac ,₹5742 per sqft 
,2,Elina Living Phase 2,850 sqft,Unfurnished,2,₹88 Lac ,₹7333 per sqft 
,2,Gulmohar Renaissance,850 sqft,Semi-Furnished,2,₹72 Lac ,₹6377 per sqft 
,3,Gagan Klara,1150 sqft,Unfurnished,3,₹1.60 Cr ,₹10309 per sqft 
,3,Fortaleza,1200 sqft,Semi-Furnished,3,₹1.65 Cr ,₹10312 per sqft 
,2,Bella Casa,908 sqft,Unfurnished,2,₹84.3 Lac ,₹6744 per sqft 
,3,Life Republic Aros,1175 sqft,Unfurnished,3,₹98.5 Lac ,₹6153 per sqft 
,2,K Town Kiwale,752 sqft,Unfurnished,2,₹59 Lac ,₹6033 per sqft 
,4,Astoria Royals,1575 sqft,Unfurnished,4,₹1.52 Cr ,₹7150 per sqft 
,3,Anandtara Silicon Bay,1500 sqft,Furnished,3,₹1.55 Cr ,₹9112 per sqft 
,3,Marvel Sangria,2300 sqft,Unfurnished,5,₹3.20 Cr ,₹6667 per sqft 
,2,ANP Ultimus,841 sqft,Unfurnished,2,₹80 Lac ,₹7048 per sqft 
,3,Majestique Rhythm County,892 sqft,Unfurnished,3,₹62 Lac ,₹5150 per sqft 
