Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,2,Nanded City,,Unfurnished,2,₹70 Lac ,₹7778 per sqft 
,1,Silver Treasure,430 sqft,Unfurnished,2,₹22.8 Lac ,₹4136 per sqft 
,3,Aditya Comfort Zone,1220 sqft,Unfurnished,3,₹1.25 Cr ,₹8065 per sqft 
,3,,1225 sqft,Unfurnished,3,₹2.55 Cr ,₹15417 per sqft 
,2,Mahalaxmi Vihar,880 sqft,Furnished,2,₹75.2 Lac ,₹7273 per sqft 
,3,Fortune Estates,1308 sqft,Unfurnished,3,₹1.35 Cr ,₹7759 per sqft 
,1,Nilesh Classic,490 sqft,Unfurnished,1,₹25.1 Lac ,₹4584 per sqft 
,2,Majestique Rhythm County,585 sqft,Unfurnished,2,₹64.4 Lac ,₹7865 per sqft 
,2,Nisarg Aangan,732 sqft,Semi-Furnished,3,₹62.6 Lac ,₹6391 per sqft 
,2,,750 sqft,Unfurnished,2,₹68.3 Lac ,₹8824 per sqft 
,1,Akshay Royal Residency,580 sqft,Unfurnished,1,₹21 Lac ,₹3621 per sqft 
,1,,450 sqft,Unfurnished,1,₹33.7 Lac ,₹6727 per sqft 
,2,Kumar Prospera,,Unfurnished,2,₹1.40 Cr ,₹16092 per sqft 
,2,Kohinoor Famville,769 sqft,Unfurnished,2,₹54.6 Lac ,₹6186 per sqft 
,3,Teerth Avila,621 sqft,Unfurnished,3,₹68 Lac ,
,2,Rama Capriccio Phase I,1050 sqft,Semi-Furnished,2,₹80.1 Lac ,
,5,The Lake District Phase 2,1250 sqft,Furnished,4,₹87 Lac ,₹5311 per sqft 
,3,,1250 sqft,Furnished,3,₹1.70 Cr ,
,2,Oxy Valley II,700 sqft,Unfurnished,2,₹42 Lac ,₹4746 per sqft 
,1,Castle World,500 sqft,Unfurnished,1,₹44.6 Lac ,₹7832 per sqft 
,3,Genesis,910 sqft,Semi-Furnished,3,₹76.5 Lac ,₹5885 per sqft 
,1,Jayhind Hillside,435 sqft,Unfurnished,1,₹28.5 Lac ,₹4364 per sqft 
,3,Xrbia Hinjewadi,576 sqft,Unfurnished,2,₹23.4 Lac ,₹2932 per sqft 
,3,Rainbow Grace,1020 sqft,Furnished,3,₹1.20 Cr ,₹9050 per sqft 
,2,Welworth Celina,1000 sqft,Furnished,2,₹85 Lac ,₹7727 per sqft 
,2,Vision Vishal Residency,550 sqft,Unfurnished,2,₹37 Lac ,₹4933 per sqft 
,2,Navkar Mantra Sunil Haridas,686 sqft,Semi-Furnished,1,₹60 Lac ,₹7500 per sqft 
,1,Spring Glory Co Operative Society,550 sqft,Unfurnished,1,₹45 Lac ,₹6923 per sqft 
,3,Godrej River Royale,1700 sqft,Semi-Furnished,3,₹2 Cr ,₹8696 per sqft 
,1,Gagan Unnati,36 sqm,Unfurnished,1,₹40 Lac ,
,2,Parijat,600 sqft,Semi-Furnished,2,₹54 Lac ,₹6835 per sqft 
,3,Paranjape Abhiruchi Parisar,688 sqft,Unfurnished,3,₹85 Lac ,₹7173 per sqft 
,2,Mantra Insignia,726 sqft,Unfurnished,2,₹66 Lac ,₹7333 per sqft 
,3,Vardaan Life Park,1450 sqft,Semi-Furnished,3,₹83 Lac ,₹5533 per sqft 
,2,,663 sqft,Semi-Furnished,2,₹32 Lac ,
,3,Rohan Leher II,1270 sqft,Semi-Furnished,3,₹1.80 Cr ,₹9730 per sqft 
,2,Godrej Urban Retreat,750 sqft,Unfurnished,2,₹85 Lac ,₹9444 per sqft 
,2,,858 sqft,Semi-Furnished,2,₹88 Lac ,₹7686 per sqft 
,3,The Ovo Life,1915 sqft,Unfurnished,3,₹1.40 Cr ,₹5952 per sqft 
,2,Seetai Residency Apartment,896 sqft,Semi-Furnished,2,₹65 Lac ,₹6348 per sqft 
,3,The Greater Ganga Panama,,Semi-Furnished,2,₹1.27 Cr ,₹9121 per sqft 
,1,Advika Phase I,470 sqft,Unfurnished,1,₹29 Lac ,₹4677 per sqft 
,2,Shibani Apartment,750 sqft,Unfurnished,1,₹50 Lac ,₹5000 per sqft 
,2,xarbia Township Nere Hinjewadi,416 sqft,Unfurnished,1,₹19.5 Lac ,
,2,Tulip Homes,779 sqft,Semi-Furnished,2,₹30 Lac ,₹3529 per sqft 
,1,Mahindra Lifespaces Centralis,427 sqft,Semi-Furnished,2,₹53.1 Lac ,₹9833 per sqft 
,2,Dreams Aakruti,700 sqft,Unfurnished,2,₹45.6 Lac ,₹5158 per sqft 
,2,,510 sqft,Unfurnished,2,₹53 Lac ,₹9500 per sqft 
,1,Daffodils Avenue,604 sqft,Unfurnished,1,₹25 Lac ,₹4139 per sqft 
,1,Manas Valley,448 sqft,Unfurnished,1,₹29.6 Lac ,₹5172 per sqft 
,3,Nyati Evara 1,1200 sqft,Semi-Furnished,2,₹1.05 Cr ,₹7836 per sqft 
,2,29 Gold Coast,714 sqft,Furnished,2,₹65.8 Lac ,₹7143 per sqft 
,2,,1100 sqft,Unfurnished,2,₹75 Lac ,₹5000 per sqft 
,1,Venkatesh Graffiti,483 sqft,Unfurnished,1,₹50 Lac ,₹7962 per sqft 
,2,Sarthak Beaulieu,,Unfurnished,2,₹40 Lac ,₹4566 per sqft 
,1,,550 sqft,Unfurnished,1,₹22.5 Lac ,₹3409 per sqft 
,1,,850 sqft,Semi-Furnished,2,₹38.2 Lac ,₹3627 per sqft 
,2,TCG The Cliff Garden,761 sqft,Furnished,2,₹1 Cr ,₹9091 per sqft 
,2,Anita Residency,785 sqft,Semi-Furnished,2,₹44.2 Lac ,₹4700 per sqft 
,2,Kubera Park,700 sqft,Semi-Furnished,2,₹70 Lac ,₹7955 per sqft 
,6,Panchshil Towers,5145 sqft,Semi-Furnished,8,₹11 Cr ,₹15299 per sqft 
,2,Shukratara,600 sqft,Unfurnished,2,₹81 Lac ,₹10125 per sqft 
,1,Royal Rahadki Greens,450 sqft,Unfurnished,1,₹50 Lac ,₹7874 per sqft 
,1,Tanish Orchid,493 sqft,Unfurnished,1,₹32 Lac ,₹5136 per sqft 
,1,Akshar Altorios,480 sqft,Unfurnished,2,₹74 Lac ,₹11385 per sqft 
,2,,750 sqft,Unfurnished,2,₹62.5 Lac ,₹7000 per sqft 
,2,,680 sqft,Unfurnished,2,₹30.1 Lac ,₹4000 per sqft 
,1,Yashada Splendid Park,471 sqft,Unfurnished,1,₹32 Lac ,₹5498 per sqft 
,1,Samruddhi Residency,,Unfurnished,1,₹10 Lac ,₹2564 per sqft 
,1,Sara City Phase D,436 sqft,Semi-Furnished,1,₹25.8 Lac ,₹4828 per sqft 
,1,Malpani Green Park,467 sqft,Unfurnished,2,₹26.7 Lac ,₹4394 per sqft 
,1,Mantra 7 Hills,,Unfurnished,1,₹27 Lac ,₹4608 per sqft 
,1,Digambar Prasad Society,600 sqft,Unfurnished,1,₹36 Lac ,₹4800 per sqft 
,3,,1175 sqft,Unfurnished,3,₹1.80 Cr ,₹10588 per sqft 
,2,,,,2,₹55 Lac ,₹7033 per sqft 
,1,Reputed Tulsi Residency,443 sqft,Semi-Furnished,1,₹45 Lac ,₹7450 per sqft 
,2,Atria Apartments,762 sqft,Semi-Furnished,2,₹50.2 Lac ,₹5493 per sqft 
,2,Krishna Keval Township,,Semi-Furnished,2,₹59 Lac ,₹5900 per sqft 
,2,,615 sqft,Unfurnished,1,₹32.7 Lac ,₹4329 per sqft 
,2,,,Unfurnished,1,₹53.7 Lac ,₹7311 per sqft 
,2,,,Semi-Furnished,1,₹21.2 Lac ,₹3333 per sqft 
,2,Hill Shire,,Semi-Furnished,2,₹70 Lac ,₹7107 per sqft 
,2,,,Furnished,1,₹45 Lac ,₹6207 per sqft 
,2,Kumar Palmgrove,,Semi-Furnished,2,₹75 Lac ,₹7143 per sqft 
,2,Godrej Forest Grove,,Furnished,2,₹62 Lac ,₹10000 per sqft 
,3,Amar Ambience,,Furnished,3,₹3.06 Cr ,₹15854 per sqft 
,3,BramhaCorp Horizon,1700 sqft,Unfurnished,3,₹1.77 Cr ,₹10000 per sqft 
,1,Godrej Horizon,450 sqft,Unfurnished,1,₹31.6 Lac ,₹5648 per sqft 
,1,Honeydew,550 sqft,Semi-Furnished,1,₹27.9 Lac ,₹4762 per sqft 
,1,,440 sqft,Unfurnished,1,₹38 Lac ,₹6552 per sqft 
,1,Ganga Vatika,580 sqft,Unfurnished,1,₹22 Lac ,₹4074 per sqft 
,2,Dwarkadheesh Residency,857 sqft,Unfurnished,1,₹69 Lac ,₹7677 per sqft 
,1,Mantra Moments,454 sqft,Unfurnished,1,₹30 Lac ,₹5255 per sqft 
,1,Saarrthi Swadesh,365 sqft,Semi-Furnished,1,₹20 Lac ,₹4914 per sqft 
,2,SKYi Star Town,530 sqft,Semi-Furnished,2,₹43.2 Lac ,₹6571 per sqft 
,3,Kohinoor Courtyard One,,Unfurnished,3,₹1 Cr ,₹8000 per sqft 
,2,Sky Heights,,Semi-Furnished,2,₹43.2 Lac ,₹5137 per sqft 
,1,Address One,313 sqft,Unfurnished,1,₹25 Lac ,
,1,Swapnananda,,Semi-Furnished,1,₹28.5 Lac ,₹6064 per sqft 
,1,Navyangan,400 sqft,Unfurnished,1,₹25 Lac ,₹4259 per sqft 
,3,,1017 sqft,Semi-Furnished,3,₹90 Lac ,₹6618 per sqft 
,2,,700 sqft,Semi-Furnished,2,₹85 Lac ,₹8781 per sqft 
,2,,825 sqft,Furnished,2,₹70 Lac ,₹6836 per sqft 
,3,,1017 sqft,Unfurnished,2,₹85 Lac ,₹6579 per sqft 
,2,Venkatesh Classic,650 sqft,Furnished,2,₹57 Lac ,₹8261 per sqft 
,1,,400 sqft,Unfurnished,1,₹37.1 Lac ,₹6879 per sqft 
,1,Sancheti Eves Garden Phase VI,,Unfurnished,1,₹41 Lac ,₹7031 per sqft 
,1,Midori Towers,,Unfurnished,1,₹49.5 Lac ,₹8333 per sqft 
,1,Tanish Srushti,484 sqft,Semi-Furnished,1,₹24.3 Lac ,₹4508 per sqft 
,1,,,Semi-Furnished,1,₹50 Lac ,₹6757 per sqft 
,1,,,Unfurnished,1,₹54.6 Lac ,₹9662 per sqft 
,2,Ganga Florentina,858 sqft,Furnished,2,₹1.01 Cr ,₹9607 per sqft 
,2,,,Semi-Furnished,2,₹27.9 Lac ,₹3750 per sqft 
,1,,,Semi-Furnished,2,₹27 Lac ,₹4983 per sqft 
,2,Lushlife Impero,650 sqft,Unfurnished,2,₹54.1 Lac ,₹6839 per sqft 
,2,Amrut Ganga,800 sqft,Semi-Furnished,2,₹1.50 Cr ,₹14851 per sqft 
,2,Godrej Hillside,720 sqft,Unfurnished,2,₹79 Lac ,₹9875 per sqft 
,2,Bhandari Nea Pure Homes,630 sqft,Unfurnished,2,₹49.7 Lac ,₹7040 per sqft 
,2,ITrend Homes,500 sqft,Unfurnished,2,₹41.9 Lac ,₹10000 per sqft 
,2,,,Unfurnished,2,₹84.6 Lac ,₹9018 per sqft 
,3,Shubham Society,1404 sqft,Unfurnished,3,₹1.50 Cr ,₹10684 per sqft 
,3,Sai Emerald,976 sqft,Semi-Furnished,3,₹93 Lac ,₹8818 per sqft 
,3,Mittal Sun Grandeur,1450 sqft,Unfurnished,3,₹1.61 Cr ,₹10294 per sqft 
,1,Gera World of Joy,242 sqft,Unfurnished,1,₹40 Lac ,₹13333 per sqft 
,2,,,Unfurnished,1,₹27 Lac ,₹3162 per sqft 
,2,Abhimaan Homes,615 sqft,Unfurnished,2,₹34.8 Lac ,₹4218 per sqft 
,1,,625 sqft,Unfurnished,1,₹36 Lac ,
,1,Godrej Skygreens,,Unfurnished,1,₹35 Lac ,₹13060 per sqft 
,2,,688 sqft,Unfurnished,2,₹72.5 Lac ,₹8774 per sqft 
,3,,1110 sqft,Furnished,1,₹1.68 Cr ,₹14800 per sqft 
,3,Kalash Trove,1367 sqft,Unfurnished,3,₹2.60 Cr ,₹13613 per sqft 
,1,Shubham Sneha Apartment,460 sqft,Unfurnished,1,₹32 Lac ,₹6095 per sqft 
,2,Sahara Royal,980 sqft,Unfurnished,2,₹49.5 Lac ,₹4490 per sqft 
,3,Mantra 7 Hills,600 sqft,Unfurnished,3,₹55 Lac ,₹6849 per sqft 
,1,Goodwill Metropolis West,480 sqft,Unfurnished,2,₹44 Lac ,₹7857 per sqft 
,2,Kamal Green Leaf,651 sqft,Unfurnished,2,₹34.2 Lac ,₹4328 per sqft 
,1,,,Semi-Furnished,1,₹37.7 Lac ,₹5994 per sqft 
,2,Vanaha Springs,801 sqft,Unfurnished,2,₹85.5 Lac ,
,2,Kolte Patil Life Republic,902 sqft,Unfurnished,2,₹74.4 Lac ,
,,Godrej 24,,,,₹86.5 Lac ,
,4,,,Unfurnished,4,₹4.19 Cr ,₹26136 per sqft 
,2,,,Semi-Furnished,2,₹55.8 Lac ,₹7059 per sqft 
,2,,,Semi-Furnished,2,₹43.9 Lac ,₹5853 per sqft 
,2,Amanora Gateway Towers,1170 sqft,Semi-Furnished,2,₹1.80 Cr ,₹11392 per sqft 
,1,,,Furnished,1,₹31 Lac ,₹4968 per sqft 
,3,Nirmiti Spacia,1010 sqft,Unfurnished,3,₹90 Lac ,₹6447 per sqft 
,3,Paranjape Magnolia,1300 sqft,Semi-Furnished,3,₹1.70 Cr ,₹10559 per sqft 
,3,,995 sqft,Semi-Furnished,2,₹90.2 Lac ,
,2,Ganesh NB Pearl,950 sqft,Unfurnished,2,₹1.30 Cr ,₹11818 per sqft 
,2,,1100 sqft,Unfurnished,2,₹45.9 Lac ,
,1,Indira Shankar Nagari kothrud,505 sqft,Unfurnished,1,₹68.3 Lac ,
,2,Ganga Elika,1280 sqft,Unfurnished,2,₹80.6 Lac ,
,2,Legacy Bliss,750 sqft,Unfurnished,2,₹92 Lac ,₹9073 per sqft 
,1,Laxmi Shantiban,485 sqft,Unfurnished,1,₹45 Lac ,₹8108 per sqft 
,2,Dwarka Sai Wonder,970 sqft,Unfurnished,2,₹88.4 Lac ,₹8636 per sqft 
,1,Dayal Heights,380 sqft,Semi-Furnished,2,₹47.9 Lac ,₹8500 per sqft 
,1,,474 sqft,Unfurnished,1,₹18.6 Lac ,₹3636 per sqft 
,2,Polite Residency,814 sqft,Semi-Furnished,2,₹44.6 Lac ,
,1,,490 sqft,Unfurnished,1,₹29.6 Lac ,₹5804 per sqft 
,1,Aapla Ghar Sanaswadi,,Unfurnished,1,₹9.4 Lac ,₹2469 per sqft 
,2,Pyramid County,600 sqft,Unfurnished,2,₹42 Lac ,₹6043 per sqft 
,2,Greenland Society,,Semi-Furnished,2,₹77.4 Lac ,₹8095 per sqft 
,2,Vilas Yashwin,700 sqft,Unfurnished,2,₹62.6 Lac ,₹7556 per sqft 
,1,Dhanashree Aangan,445 sqft,Furnished,1,₹32 Lac ,₹4878 per sqft 
,1,Sara City,569 sqft,Unfurnished,1,₹19 Lac ,
,1,Samrat Towers,350 sqft,Semi-Furnished,1,₹19.8 Lac ,₹4231 per sqft 
,1,Daffodils Avenue,,Furnished,1,₹25.1 Lac ,₹4455 per sqft 
Lodha Bella Vita,2,Lodha Bella Vita,833 sqft,Unfurnished,2,₹99 Lac ,
,1,Alcon Sukhwani Rainforest,,Unfurnished,1,₹20 Lac ,₹3738 per sqft 
,1,Royal Rahadki Greens,485 sqft,Furnished,1,₹42.3 Lac ,₹7886 per sqft 
,2,Ganga Aria,,,,₹65 Lac ,₹6667 per sqft 
,2,Shree Ganesh Park,880 sqft,Unfurnished,2,₹31.9 Lac ,₹3333 per sqft 
,2,ULV Aapli,644 sqft,Furnished,2,₹1.22 Cr ,₹15294 per sqft 
,1,,450 sqft,Unfurnished,1,₹25 Lac ,
,1,Ceratec Green,350 sqft,Unfurnished,1,₹40.4 Lac ,₹9556 per sqft 
,2,,,Semi-Furnished,2,₹72 Lac ,₹7734 per sqft 
,1,,458 sqft,Unfurnished,1,₹21 Lac ,₹3360 per sqft 
,2,Raheja Gardens,1040 sqft,Unfurnished,2,₹92 Lac ,
,2,VTP Leonara,806 sqft,Unfurnished,2,₹90 Lac ,
,2,,900 sqft,Furnished,2,₹69 Lac ,₹7895 per sqft 
,1,Kalpataru Serenity,500 sqft,Unfurnished,1,₹34.9 Lac ,₹6098 per sqft 
,1,Antara,,Semi-Furnished,1,₹35 Lac ,₹5882 per sqft 
,2,Sampanna Homes,,Unfurnished,2,₹52.1 Lac ,₹5333 per sqft 
,2,,,Unfurnished,2,₹59.2 Lac ,₹6019 per sqft 
,3,Shreeram Lotus,1003 sqft,Furnished,3,₹1.15 Cr ,₹8846 per sqft 
,1,,,Unfurnished,1,₹27.6 Lac ,₹5085 per sqft 
,1,Dreams Sankalp,,Unfurnished,1,₹25.2 Lac ,₹5600 per sqft 
,2,Majestique Aqua,,Semi-Furnished,2,₹48 Lac ,₹5405 per sqft 
,3,Godrej Urban Retreat,,Semi-Furnished,3,₹1.13 Cr ,₹9231 per sqft 
,2,Teerth Towers,,Semi-Furnished,2,₹85 Lac ,₹7900 per sqft 
,3,Siddharth Nagar,1100 sqft,Semi-Furnished,3,₹1.12 Cr ,₹10909 per sqft 
,1,Dreams Rakshak,460 sqft,Semi-Furnished,1,₹27.6 Lac ,₹5357 per sqft 
,2,Yashone Hinjewadi Phase 1,750 sqft,Unfurnished,2,₹69.1 Lac ,₹7233 per sqft 
,2,Pristine Meadows,721 sqft,Unfurnished,2,₹48 Lac ,₹6000 per sqft 
,1,Shubharambh Apartment,359 sqft,Unfurnished,1,₹23 Lac ,₹4902 per sqft 
,2,Swaraaj Pride,,Unfurnished,2,₹58 Lac ,₹6190 per sqft 
,2,Gagan Akanksha,720 sqft,Unfurnished,2,₹30 Lac ,₹3529 per sqft 
,2,SKYi Star Town,550 sqft,Semi-Furnished,2,₹42.3 Lac ,₹6053 per sqft 
,2,Nyati Estate,,Unfurnished,2,₹79 Lac ,₹4950 per sqft 
,3,Green Natraj Residency,1070 sqft,Semi-Furnished,3,₹83.7 Lac ,₹7739 per sqft 
,2,Meridian Heights,556 sqft,Furnished,2,₹33.5 Lac ,₹5000 per sqft 
,2,Opulent Starlit,986 sqft,Unfurnished,2,₹1.80 Cr ,₹13526 per sqft 
,2,Park Vista,,Unfurnished,2,₹53.6 Lac ,₹6196 per sqft 
,2,Mahesh Galaxy,,Unfurnished,2,₹79.9 Lac ,₹8433 per sqft 
,1,Rajni Corner Apartment,,Semi-Furnished,1,₹34.6 Lac ,₹6169 per sqft 
,3,F Residences,,Semi-Furnished,4,₹1.80 Cr ,₹10493 per sqft 
,1,Parekh Tower,500 sqft,Furnished,2,₹36 Lac ,
,2,Gurukrupa Aero Nest,668 sqft,Unfurnished,2,₹45 Lac ,₹4478 per sqft 
,2,Golden Paradise,1113 sqft,Semi-Furnished,2,₹72 Lac ,
,1,Royal Rahadki Greens,,Semi-Furnished,2,₹47 Lac ,₹8026 per sqft 
,2,Unity Park,850 sqft,Semi-Furnished,2,₹45 Lac ,₹4278 per sqft 
,1,Tejas Apartment,560 sqft,Unfurnished,1,₹29.8 Lac ,
,1,Anjali Apartment Deccan Gymkhana,540 sqft,Unfurnished,1,₹84.6 Lac ,₹16852 per sqft 
,3,Atur Terraces,1148 sqft,Semi-Furnished,3,₹1.41 Cr ,₹11111 per sqft 
,5,,1100 sqft,Unfurnished,10,₹90 Lac ,₹6923 per sqft 
,2,,,Furnished,2,₹59.2 Lac ,₹6500 per sqft 
,1,Neeti Heritage,,Semi-Furnished,2,₹33.5 Lac ,₹5333 per sqft 
,3,Madhuban Society,2000 sqft,Semi-Furnished,4,₹1.37 Cr ,₹6250 per sqft 
,3,,,Unfurnished,3,₹2.55 Cr ,₹14571 per sqft 
,1,Shri Hari Krupa,,Semi-Furnished,1,₹37.6 Lac ,₹4762 per sqft 
,1,,,Unfurnished,1,₹20 Lac ,₹3431 per sqft 
,2,Bansal Complex,,Unfurnished,1,₹35 Lac ,₹4375 per sqft 
,1,,,Semi-Furnished,1,₹34 Lac ,₹4250 per sqft 
,2,Dewachi Urli,,Unfurnished,2,₹26 Lac ,₹3504 per sqft 
,1,,,Unfurnished,1,₹27.3 Lac ,₹5455 per sqft 
,1,Bhumi Pride,490 sqft,Semi-Furnished,1,₹36 Lac ,₹5778 per sqft 
,1,,,Unfurnished,1,₹41 Lac ,₹6767 per sqft 
,1,,,Semi-Furnished,2,₹32.6 Lac ,₹5147 per sqft 
,1,,,Unfurnished,1,₹28.2 Lac ,₹5882 per sqft 
,2,BK Jhala Simpli City Phase II,573 sqft,Unfurnished,2,₹48.4 Lac ,₹7692 per sqft 
,3,Vasant Leela Apartment,1160 sqft,Unfurnished,3,₹2.90 Cr ,₹16851 per sqft 
,1,Urbangram,,Unfurnished,1,₹17.3 Lac ,₹3619 per sqft 
,2,,,,2,₹72 Lac ,₹8000 per sqft 
,1,,,Unfurnished,1,₹14.6 Lac ,₹2952 per sqft 
,2,,,,2,₹30 Lac ,₹3750 per sqft 
,2,,,Semi-Furnished,1,₹75 Lac ,₹6522 per sqft 
,3,Kunal Park,1315 sqft,Unfurnished,2,₹65 Lac ,₹4333 per sqft 
,2,,,Unfurnished,2,₹27.6 Lac ,₹4161 per sqft 
,2,,,Semi-Furnished,1,₹15.8 Lac ,₹2833 per sqft 
,1,,,Unfurnished,1,₹32.6 Lac ,₹6140 per sqft 
,2,,,Semi-Furnished,2,₹80 Lac ,₹8333 per sqft 
,1,,640 sqft,Unfurnished,1,₹41 Lac ,₹5125 per sqft 
,1,Tanish Orchid,,Unfurnished,1,₹25.5 Lac ,₹4778 per sqft 
,1,Three Jewels,,Unfurnished,1,₹40 Lac ,₹6400 per sqft 
,1,Kalpataru Estate,485 sqft,Unfurnished,1,₹55 Lac ,₹8397 per sqft 
,2,,,Unfurnished,2,₹36 Lac ,₹4706 per sqft 
,1,,,Unfurnished,1,₹63 Lac ,₹11200 per sqft 
,1,Balaji Sankul,,Semi-Furnished,1,₹15 Lac ,₹2773 per sqft 
,1,Riddhi Siddhi Paradise,,Semi-Furnished,1,₹42 Lac ,₹6614 per sqft 
,2,VTP Belair A Building,732 sqft,Unfurnished,2,₹81 Lac ,₹9109 per sqft 
,2,Mahavirs Natura,,Unfurnished,2,₹34 Lac ,₹3953 per sqft 
,2,Sara City,,Unfurnished,1,₹25.4 Lac ,₹3237 per sqft 
,3,,1431 sqft,Unfurnished,4,₹1.41 Cr ,₹8333 per sqft 
,2,38 Park Majestique,700 sqft,Furnished,2,₹43.2 Lac ,
,1,Ganesh Bella Rossa,507 sqft,Unfurnished,1,₹36 Lac ,₹5625 per sqft 
,1,Amit Colori Phase II,,Unfurnished,1,₹36.8 Lac ,₹7407 per sqft 
,1,41 Etasha,424 sqft,Unfurnished,1,₹35 Lac ,₹7778 per sqft 
,1,,520 sqft,Unfurnished,2,₹13.9 Lac ,
,1,Kothari Stargaze,630 sqft,Unfurnished,1,₹45 Lac ,₹7937 per sqft 
,2,Sai Mystique,,Unfurnished,2,₹51.7 Lac ,₹5477 per sqft 
,2,Engracia,,Semi-Furnished,2,₹95 Lac ,₹9491 per sqft 
,3,Ira,,Semi-Furnished,3,₹72.5 Lac ,₹5595 per sqft 
,2,Anjani Amores,590 sqft,Semi-Furnished,2,₹39 Lac ,₹5200 per sqft 
,2,VTP Urban Rise,,Furnished,2,₹41.4 Lac ,₹4294 per sqft 
,2,Xrbia Hinjewadi,,Unfurnished,2,₹25 Lac ,₹4303 per sqft 
,1,Roshan One,402 sqft,Semi-Furnished,1,₹19.1 Lac ,₹3853 per sqft 
,2,Sacred Heart Town,,Unfurnished,2,₹85.5 Lac ,₹9500 per sqft 
,2,Aster Myrah,,Semi-Furnished,2,₹45.1 Lac ,₹4724 per sqft 
,1,Antara,454 sqft,Semi-Furnished,1,₹34.4 Lac ,
,1,,,Unfurnished,1,₹27 Lac ,₹5294 per sqft 
,2,Sai Tirupati Greens,750 sqft,Furnished,2,₹85 Lac ,₹7391 per sqft 
,1,,,Semi-Furnished,1,₹32 Lac ,₹5351 per sqft 
,3,Astonia Royale,,Unfurnished,3,₹1.29 Cr ,₹10363 per sqft 
,2,Rohit Park II,660 sqft,Furnished,2,₹52 Lac ,₹6068 per sqft 
,2,Palazzo Greens,,Unfurnished,2,₹40 Lac ,₹5128 per sqft 
,1,,,Unfurnished,1,₹47 Lac ,₹8090 per sqft 
,1,Sushrut Residency,,Unfurnished,1,₹30 Lac ,₹6000 per sqft 
,1,,524 sqft,Unfurnished,1,₹59.2 Lac ,₹12405 per sqft 
,2,,,Furnished,2,₹56.4 Lac ,₹7117 per sqft 
,3,Zinnea,,Semi-Furnished,3,₹99 Lac ,₹7269 per sqft 
,2,Yashom Lifespaces,,Semi-Furnished,2,₹51 Lac ,₹5642 per sqft 
,2,,800 sqft,Semi-Furnished,2,₹60.5 Lac ,₹7558 per sqft 
,2,Aarav Sheraton,650 sqft,Unfurnished,2,₹30.6 Lac ,₹3940 per sqft 
,2,,904 sqft,Semi-Furnished,2,₹80 Lac ,₹6932 per sqft 
,1,Vardhman Dhruv,425 sqft,Unfurnished,1,₹42 Lac ,₹6176 per sqft 
,1,Savali Homes,636 sqft,Furnished,1,₹22.5 Lac ,₹3931 per sqft 
,2,Netra Sairang Residency Phase II,600 sqft,Unfurnished,2,₹45 Lac ,₹6112 per sqft 
,1,,480 sqft,Unfurnished,1,₹20 Lac ,₹3636 per sqft 
,2,Raut Baug Apartment,700 sqft,Furnished,3,₹60 Lac ,₹7500 per sqft 
,2,,539 sqft,,,₹40 Lac ,₹6623 per sqft 
,1,Sarita Sangam,319 sqft,Unfurnished,1,₹43.2 Lac ,₹7754 per sqft 
,2,Venkatesh Graffiti Elite,830 sqft,Semi-Furnished,2,₹70 Lac ,₹6481 per sqft 
,2,Puravankara Purva Silversands,666 sqft,Semi-Furnished,2,₹99 Lac ,₹11000 per sqft 
,1,Tamarind Park,,Furnished,1,₹35 Lac ,₹5582 per sqft 
,1,,,Unfurnished,1,₹16.5 Lac ,₹3526 per sqft 
,1,Atria Dhanashree Aangan,,Unfurnished,1,₹32 Lac ,₹5818 per sqft 
,1,Kamthe Laxmi Park,441 sqft,Unfurnished,2,₹26 Lac ,₹4778 per sqft 
,1,Rajmata Star City,516 sqft,Semi-Furnished,1,₹28.5 Lac ,₹4432 per sqft 
,1,Jai Ganesh Samrajya,492 sqft,Unfurnished,1,₹37.8 Lac ,₹7368 per sqft 
,1,Nisarg Classic,425 sqft,Semi-Furnished,1,₹32 Lac ,₹5351 per sqft 
,2,Xrbia Township,,Unfurnished,2,₹23.5 Lac ,₹4808 per sqft 
,2,Nandadeep Apartment,965 sqft,Unfurnished,2,₹59 Lac ,
,2,Engracia,,Semi-Furnished,2,₹95 Lac ,₹9491 per sqft 
Ashiana Malhar,2,Ashiana Malhar,,Unfurnished,2,₹74.8 Lac ,₹8738 per sqft 
,2,Kundan Kushal Nagar,876 sqft,Furnished,2,₹49.5 Lac ,
,3,,855 sqft,Furnished,3,₹66 Lac ,₹6044 per sqft 
,1,,475 sqft,Unfurnished,1,₹40 Lac ,₹5690 per sqft 
,2,,600 sqft,Semi-Furnished,2,₹60 Lac ,₹6231 per sqft 
,1,Dream Villa Society,553 sqft,Unfurnished,1,₹22.5 Lac ,
,1,Atria Apartments,,Furnished,1,₹33 Lac ,₹5500 per sqft 
,3,Krishna Amorapolis,1008 sqft,Semi-Furnished,3,₹84 Lac ,₹6176 per sqft 
,2,Rama Krystal City,622 sqft,Furnished,2,₹55 Lac ,
,3,Bhakti Vihar,1397 sqft,Unfurnished,2,₹64.4 Lac ,
,2,,623 sqft,Furnished,2,₹55 Lac ,₹6180 per sqft 
,2,Eclectica Homes,714 sqft,Furnished,2,₹85 Lac ,₹9150 per sqft 
,,Vastushodh Anandgram,280 sqft,,,₹11.2 Lac ,₹4000 per sqft 
